optimizer,objective,n_dim,evals_to_target_mean,evals_to_target_std,success_rate,mean_time_per_evaluation
cma_es,ackley,5,220.8,30.776614498674153,1.0,8.403875004386983e-06
cma_es,ackley,20,825.6,53.93329213018616,1.0,7.72719225676479e-06
cma_es,ackley,50,1890.0,143.48344852281744,1.0,6.0058626753428535e-05
cma_es,rastrigin,5,611.2,140.80909061562753,1.0,8.403875004386983e-06
cma_es,rastrigin,20,,,0.0,7.72719225676479e-06
cma_es,rastrigin,50,,,0.0,6.0058626753428535e-05
cma_es,rosenbrock,5,810.6666666666666,257.03955597015283,0.6,8.403875004386983e-06
cma_es,rosenbrock,20,,,0.0,7.72719225676479e-06
cma_es,rosenbrock,50,,,0.0,6.0058626753428535e-05
cma_es,sphere,5,441.6,42.10463157421046,1.0,8.403875004386983e-06
cma_es,sphere,20,1622.4,57.79965397820302,1.0,7.72719225676479e-06
cma_es,sphere,50,3888.75,98.26622003516773,0.8,6.0058626753428535e-05
finite_difference,ackley,5,,,0.0,2.6617358343359397e-06
finite_difference,ackley,20,,,0.0,8.084629835492517e-07
finite_difference,ackley,50,,,0.0,5.813457407602844e-07
finite_difference,rastrigin,5,,,0.0,2.6617358343359397e-06
finite_difference,rastrigin,20,,,0.0,8.084629835492517e-07
finite_difference,rastrigin,50,,,0.0,5.813457407602844e-07
finite_difference,rosenbrock,5,,,0.0,2.6617358343359397e-06
finite_difference,rosenbrock,20,,,0.0,8.084629835492517e-07
finite_difference,rosenbrock,50,,,0.0,5.813457407602844e-07
finite_difference,sphere,5,606.0,13.416407864998739,1.0,2.6617358343359397e-06
finite_difference,sphere,20,2680.0,28.284271247461902,1.0,8.084629835492517e-07
finite_difference,sphere,50,,,0.0,5.813457407602844e-07
genetic_algorithm,ackley,5,416.0,66.93280212272605,1.0,1.7136399898569852e-05
genetic_algorithm,ackley,20,3040.0,560.0,0.6,1.8582910508288268e-05
genetic_algorithm,ackley,50,,,0.0,1.8557149699331343e-05
genetic_algorithm,rastrigin,5,800.0,228.0350850198276,1.0,1.7136399898569852e-05
genetic_algorithm,rastrigin,20,,,0.0,1.8582910508288268e-05
genetic_algorithm,rastrigin,50,,,0.0,1.8557149699331343e-05
genetic_algorithm,rosenbrock,5,1320.0,,0.2,1.7136399898569852e-05
genetic_algorithm,rosenbrock,20,,,0.0,1.8582910508288268e-05
genetic_algorithm,rosenbrock,50,,,0.0,1.8557149699331343e-05
genetic_algorithm,sphere,5,1584.0,418.186561237924,1.0,1.7136399898569852e-05
genetic_algorithm,sphere,20,,,0.0,1.8582910508288268e-05
genetic_algorithm,sphere,50,,,0.0,1.8557149699331343e-05
nelder_mead,ackley,5,,,0.0,1.1987085947501602e-05
nelder_mead,ackley,20,,,0.0,1.5134729551500606e-05
nelder_mead,ackley,50,,,0.0,1.633392741455426e-05
nelder_mead,rastrigin,5,,,0.0,1.1987085947501602e-05
nelder_mead,rastrigin,20,,,0.0,1.5134729551500606e-05
nelder_mead,rastrigin,50,,,0.0,1.633392741455426e-05
nelder_mead,rosenbrock,5,278.8,144.24007764834292,1.0,1.1987085947501602e-05
nelder_mead,rosenbrock,20,,,0.0,1.5134729551500606e-05
nelder_mead,rosenbrock,50,,,0.0,1.633392741455426e-05
nelder_mead,sphere,5,166.0,20.74849392124643,1.0,1.1987085947501602e-05
